0000190992;Effect of pendular orientation on the reactivity of H + DCl: A quasiclassical trajectory study;23;56249439900,7102406404,7004037877,6602605339,6507394381
0000445291;Preheating study by reflectivity measurements in laser-driven shocks;64;7003496962,24496280300,6603912133,7006557114,7102876315,7005855062,55778145619,6506804084,7402483742,6602604950,6603842901,6603665716,6601968642
0000448948;A simple approach to evaluate mixed layer depths;3;7003862871
0000575148;KI evaluation by the displacement extrapolation technique;69;7003837077,7102212919,7007057622
0000735923;Comparison of different in vitro and in situ methods to estimate the extent and rate of degradation of hays in the rumen;37;7202082224,7004418140,7404493722,6506499671
0000753746;Two modes of rubidium uptake in sunflower plants;45;6602135165,57189367059,7006184290
0000786434;Preparation and Redox Properties of Novel Polymerizable Pyrrole- and Allyl-Functionalized Cobaltocenium Monomers and Siloxane-Based Cobaltocenium Polymers;24;56822266500,7006643372,6505946399,7006564755,7102739065,7005189099,7004343051
0000786593;Stochastic equations of motion for epitaxial growth;185;7005754490,7003323349,6506663114,6701726497
0000904624;Separate effects on gluten strength of Gli-1 and Glu-3 prolamin genes on chromosomes 1A and 1B in durum wheat;31;7402667793,7101679764
0000943308;A Glucose Amperometric Sensor Based on Covalent Immobilization of Glucose Oxidase in Poly-2-aminoaniline Film via Chloranil on Platinized Platinum Electrode;19;7005189099,55667469300
0001101939;Exciton and donor-acceptor recombination in undoped GaN on Si(111);47;7005835864,7403074172,7004351174,7004351174,7004916380,7005101634,56246137400,56246137400
0001183706;Use of recombinant inbred lines of wheat for study of associations of high-molecular-weight glutenin subunit alleles to quantitative traits - 2. Milling and bread-baking qualitiy;29;7005980192,7101679764,6603851256,6701334127
0001195097;(Dimethylamino)dimethylsilyl-Substituted Dimeric and Siloxanyl Polymeric Compounds Containing [(?<sup>5</sup>-C<inf>5</inf>R<inf>4</inf>)Fe(CO)(µ-CO)]<inf>2</inf> (R = H, Me) Moieties. Synthesis, Characterization, and Electrochemistry;42;7403143648,15076145800,56822266500,7005189099
0001197853;Basic endochitinases are major proteins in Castanea sativa cotyledons;23;6603435995,6701401534,7005743321,6701421244
0001262809;Morphological model of reflection high-energy electron-diffraction intensity oscillations during epitaxial growth on GaAs(001);50;22964335600,7005754490,6701726497,36062542300,7003337022,7102210065
0001387716;The H+D<inf>2</inf> reaction in the vicinity of the conical intersection;37;6603554402,6602089960,6701816365,56249439900,7004418480,7004037877,6701517753,6602605339
0001417416;Sodium ion transport in Neurospora crassa;9;7102616653,7006184290
0001492442;Synthesis of the First Redox-Active Organometallic Polymers Containing Cyclosiloxanes as Frameworks;62;7006643372,56822266500,7403143648,7006564755,6505946399,7005189099
0001570418;Crack trajectories under mixed mode and non-proportional loading;10;7102940777,7007057622,7003837077,7102212919
0001592448;Experimental analysis of stability limits of capillary liquid bridges;16;6507339126,36151093900,7004535458
0001694741;Silicon-based organometallic dendritic macromolecules containing {?<sup>6</sup>-(organosilyl)arene}chromium tricarbonyl moieties;49;6505946399,56822266500,7006643372,7006564755,7403143648,7005189099
0001748484;Cyclic siloxanes and silsesquioxanes as cores and frameworks for the construction of ferrocenyl dendrimers and polymers;65;7006643372,56822266500,7403143648,7006564755,7005545652,7005189099
0002036105;In situ characterization of the late vacuolate microspore as a convenient stage to induce embryogenesis in Capsicum;34;6602321072,6701764930,6701764930,6508195606,6508195606,8986079900,55945779600,24290875800
0002084134;Morphogenesis and tissue culture of sweet orange (Citrus sinensis (L.) Osb.): Effect of temperature and photosynthetic radiation;31;55893824500,6602083125,16422498400,7203050469,7006117429
0002157571;Factors influencing mechanical properties and bruise susceptibility of apples and pears;71;36598311400,56182360700,7004761115
0002287876;Recovery of whole plants of sweet orange from somatic embryos subjected to freezing thawing treatments;24;16448505600,6602083125,7203050469,55893824500
0002311364;Steady and oscillatory flame spread over liquid fuels;19;7005962174,6603854853
0002459135;Quasiclassical trajectory study of the Li+HF( v=0 ) ? LiF+H reaction;30;56249439900,55224133700,7102690452,6602605339,6507394381
0003491097;Evaluation of the photoautotrophic ability of Vitis plantlets (rootstock var. Gravesac): Set-up of a special open flow gas exchange system;8;6507967637,6504607771,6602906363,6602528853,6602528853
0004735421;A synthetically accelerated scheme for radiative transfer calculations;35;6603665716
0004879754;Magnetic hardening by crystallization of amorphous precursors using very high heating rates;3;56538925900,7404493575,7006553916
0006198452;A search for resistance to Cucumber mosaic virus in the genus Lycopersicon;9;7103005303,8721986700,7005743321,7006808462
0006640760;The crystallization of a molten sphere;14;6701563636
0007594275;Nitrogen use efficiency with the application of controlled release fertilizers coated with kraft pine lignin;3;14037463500,7006323471,7402429266,6701719099,7201552657
0007958533;Potassium and Rubidium Effluxes in Saccharomyces Cerevisiae;15;7102616653,7006184290
0007980929;Synthesis and properties of ?<sup>5</sup>-C<inf>5</inf>R<inf>5</inf>Fe(CO)<inf>2</inf>(CH<inf>2</inf>)<inf>3</inf>Si(OCH<inf>3</inf>)<inf>3</inf> (R = H or Me). An example of electrooxidative-induced carbonyl insertion;9;7403143648,56681361200,56822266500,57190181857,7005189099
0008242417;Synthesis, characterization, and electrochemistry of the mono- and bi-dentate xanthate complexes ?<sup>5</sup>-C<inf>5</inf>R<inf>5</inf>Fe(CO)(?<sup>1</sup>-SC(S)OEt)L and ?<sup>5</sup>-C<inf>5</inf>R<inf>5</inf>Fe(?<sup>2</sup>-S<inf>2</inf>COEt) L (R = H, Me; L = PBu<inf>3</inf>, PPh<inf>3</inf>, P(OEt)<inf>3</inf>, P(OPh)<inf>3</inf>);14;7403143648,56822266500,57190181857,7005189099
0008268695;A new synthesis and the electrochemical behaviour of nickel(II) dithiophosphate and dithiophosphinate complexes;4;7005189099,7403143648,56469498600
0008283149;Organometallic dendrimers with transition metals;181;56822266500,7403143648,7006643372,7006564755,7005189099
0008882255;Magnetotelluric survey in the bradyseismic area of Phlegraean Fields;10;7102061483,6701498956,7005370131,16474881500
0009466250;Step stability, domain coverage, and nonequilibrium kinetics in Si(001) molecular-beam epitaxy;23;22966281500,6701726497,7005754490,7401949411,7201964596,35353721700
0009567315;The influences of calcium and magnesium ions on the exchange of monovalent cations in Neurospora crassa;3;7005895327,7006184290
0010250028;Gauge-Based Tip Position Control of a New Three-Degree-of-Freedom Flexible Robot;22;35547093600,56525432100,6601955347
0011393617;Electron paramagnetic resonance and electronic spectroscopy studies of some complexes of Cr(III) with imidazoles;5;6603026909,7005189099,7403143648
0011867294;Thermal separation in near-axis boundary layers with intense swirl;3;6603410143,6603221917,7005888995
